hallmark_1,hallmark_2,corr_young,corr_old,corr_change,z_statistic,p_value,significant,pvalue_fdr,significant_fdr
Epigenetic Alterations,Stem Cell Exhaustion,0.1202002059942628,0.22031886927745783,0.10011866328319503,0.7390446503807517,0.4598798848700123,False,0.9326564657678554,False
Epigenetic Alterations,Altered Intercellular Communication,-0.37582887154299915,-0.11222240733877845,0.26360646420422074,2.022899228071993,0.043083538163158464,True,0.3102014747747409,False
Loss of Proteostasis,Deregulated Nutrient Sensing,-0.30796109895894214,-0.1998372198490503,0.10812387910989182,0.828706811727161,0.40727033036150084,False,0.9326564657678554,False
Loss of Proteostasis,Mitochondrial Dysfunction,-0.24005550023427324,-0.20463539803876413,0.03542010219550912,0.266862857366637,0.7895747553443013,False,0.9326564657678554,False
Loss of Proteostasis,Cellular Senescence,-0.2260953207943878,-0.1721216441583987,0.05397367663598909,0.4025678479347652,0.6872661664115569,False,0.9326564657678554,False
Loss of Proteostasis,Stem Cell Exhaustion,-0.16054138027739262,-0.06457282383394243,0.09596855644345019,0.6965989964628192,0.48605378406619426,False,0.9326564657678554,False
Loss of Proteostasis,Altered Intercellular Communication,-0.009823157626729114,-0.08622283644231872,-0.07639967881558961,-0.5486171463288458,0.5832682163968916,False,0.9326564657678554,False
Deregulated Nutrient Sensing,Mitochondrial Dysfunction,0.24869657001293527,0.4640179602957158,0.21532139028278052,1.778717926769316,0.07528601863620654,False,0.45171611181723925,False
Deregulated Nutrient Sensing,Cellular Senescence,-0.4211238652217052,-0.3519106997538661,0.06921316546783912,0.5831360292333615,0.5598017310846286,False,0.9326564657678554,False
Deregulated Nutrient Sensing,Stem Cell Exhaustion,-0.3924871679193728,-0.34489224037994043,0.0475949275394324,0.39457427059306444,0.6931571050729193,False,0.9326564657678554,False
Deregulated Nutrient Sensing,Altered Intercellular Communication,0.07070199780386281,-0.4174108026840585,-0.48811280048792133,-3.6904776417790512,0.00022383336298115175,True,0.008058001067321463,True
Mitochondrial Dysfunction,Cellular Senescence,-0.14955140536951603,-0.2153814219803198,-0.06583001661080376,-0.48783790118892106,0.6256646629779978,False,0.9326564657678554,False
Mitochondrial Dysfunction,Stem Cell Exhaustion,-0.22476453138437377,-0.21828398973396065,0.006480541650413119,0.048800844700044754,0.9610780090050295,False,0.9639945906473542,False
Mitochondrial Dysfunction,Altered Intercellular Communication,-0.3641006652314033,-0.4599915606402362,-0.09589089540883294,-0.8284711298444305,0.40740373831412313,False,0.9326564657678554,False
Cellular Senescence,Stem Cell Exhaustion,0.2869205854714292,0.18545643746520055,-0.10146414800622863,-0.7703564597904617,0.4410884734972089,False,0.9326564657678554,False
Cellular Senescence,Altered Intercellular Communication,0.07141732317041834,0.12362619355709525,0.05220887038667692,0.3775366839867212,0.7057748079680575,False,0.9326564657678554,False
Stem Cell Exhaustion,Altered Intercellular Communication,-0.04868104086687833,-0.03751302440767866,0.011168016459199667,0.08012153747398734,0.9361405933853606,False,0.9639945906473542,False
